"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"Cooper’s Hawk Winery & Restaurants ","Cooper’s Hawk Winery & Restaurants is a casual-dining chain known for its varied menu and hand-crafted, barrel-aged wines made on location. Tim McEnery opened the first unit in Orland Park, Illinois, in 2005. The restaurants are freestanding and in endcap locations. Units range from 8,000 to 13,000 square feet and seat approximately 250 to 300 patrons. Exterior facades vary by location, but each maintains sleek, modern lines modeled from elegant, natural stones. Dark wood floors and tables create a sharp, polished dynamic, and wine barrels, bottles and decanters accent the dining room’s refined decor. Each location has a winery where patrons can view and taste the winemakers’ latest creations; weekly wine tastings offer visitors the chance to experience and learn about different types of wine. Units also have a gift shop. Fresh, high-quality ingredients are used in food preparation, and the selection of upscale appetizers, chopped salads, burgers, sandwiches, pasta, seafood, beef and pork entrees, and desserts aimed at an upscale clientele with a more sophisticated palate.","Countryside, Ill.",5e+07,63.9,9,NA,7150000,2012,NA
"Jake’s Wayback Burgers ","Jake’s Wayback Burgers is a fast-casual, “better burger” concept known for its made-to-order burgers and hand-dipped milk shakes. The inviting, friendly atmosphere attracts a range of diners, from families to young adults. Parent Jake’s Franchising LLC owns and operates the chain. Units are typically inline locations that average 1,200–1,800 square feet. Restaurants are modeled after old roadside burger joints with a warm red barnyard-style interior. The design is clean and classic; decor elements include stainless-steel accents and 1920s-inspired memorabilia. Originally known as Jake’s Hamburgers, the chain originated in 1991 with a unit in Newark, Delaware. The chain rebranded in 2010 with a new name and revamped decor. Around the same time, the chain kicked off an aggressive expansion plan, fueled mainly by franchising.","Cheshire, Conn.",3.2e+07,45.5,44,NA,950000,2012,NA
"Muscle Maker Grill","Rod Silva launched what would become the Muscle Maker Grill concept in 1995 when he opened a smoothie store in Colonia, New Jersey. Silva eventually broadened the menu to include the concept’s current specialties— low-calorie and lowfat wraps, salads, pasta bowls and “guiltless” entrees—and rechristened the brand under the Muscle Maker Grill moniker. Silva and his team launched a franchising program in 2008. The fast casual-chain is privately held and is operated and franchised by Muscle Maker Grill Franchising LLC. Units typically range from 1,500–2,200 square feet, although some stores operate in spaces encompassing about 1,100 square feet. Most stores are in converted inline spaces that formerly housed other restaurants. A sizeable number of stores are found inside health clubs or fitness centers. Other outposts are situated in shopping malls or other high-traffic locales. Dine-in, takeaway, delivery and catering services are offered. ","Woodbridge, N.J.",32900000,44.4,45,NA,750000,2012,NA
"Stanford’s Restaurant & Bar ","Stanford’s Restaurant & Bar is a contemporary casual-dining concept positioned as a comfortable neighborhood bar known for its fire-grilled offerings. The chain’s varied menu appeals to a range of guests, especially young professionals, as diners can stop in for a quick lunch or spend time relaxing during a leisurely dinner. The chain is also well known for its daily happy hour. Multi-concept operator Restaurants Unlimited Inc. oversees the chain. RUI, originally known as Pacific Coast Restaurants Inc., opened the first Stanford’s in early 1990. The company opened seven more units over the next five years. RUI is owned by Sun Capital Partners Inc. The all-day menu features appetizers such as grilled portobello mushrooms, salt-and-pepper calamari and cheesy focaccia bread; signature sandwiches, all served on freshly baked rolls, include balsamic-glazed chicken and crab and artichoke; and house specialties include chicken fajitas, beer-battered halibut fish and chips and pan-roasted garlic chicken.","Seattle, Wash.",2.5e+07,40.8,8,NA,3550000,2012,NA
"Zoës Kitchen ","Zoës Kitchen is a chain of limited-service restaurants that offer Mediterranean-inspired sandwiches, entrees, salads and sides in a quick and casual format. With its focus on fresh food, friendly service and value pricing, the chain is a popular option for lunchtime diners and those looking for a scratch-made home-meal replacement. Zoës Kitchen USA LLC operates and franchises the chain. Restaurants offer dine-in and takeout service. A grab-and-go case with packaged foods is located near the ordering counter. The chain also sells fully prepared takeaway meals large enough for a family of four. Catering options include box lunches, party trays and delivered meals. Zoë and Marcus Cassimus opened the first Zoës Kitchen in 1995 in Birmingham, Alabama. John Cassimus acquired the rights to his mother’s restaurant in 1999. Private-equity firm Brentwood Associates acquired a majority interest in the chain in 2007.","Birmingham, Ala.",4.9e+07,40,57,NA,980000,2012,NA
"Sarpino’s Pizzeria","Sarpino’s Pizzeria is a quick-service pizza chain that specializes in traditional and gourmet pizzas. Operating in a mixture of takeout, delivery and dine-in locations, Sarpino’s attracts a wide range of consumers. Sarpino’s USA Inc., a privately held company, operates and franchises the chain in the United States. Units are primarily located in strip malls and office buildings. Restaurants range in size from 1,500 to 2,500 square feet and offer limited seating. The company’s smaller Pizza Express units focus mainly on carryout business and have minimal decor. Larger units with a greater emphasis on sit-down dining feature modern cherrywood tables and chairs. Gerry Koutougos, who has been operating full-service restaurants in Canada since 1972, launched the Sarpino’s Pizzeria concept in 2001 in Victoria, British Columbia. Sarpino’s Pizzeria of Canada soon expanded the concept in Canada as well as overseas. The chain opened its first location in the U.S. in Phoenix in 2002. In 2005, Sarpino’s USA took over U.S. franchising from Sarpino’s Pizzeria of Canada. The menu features specialty and gourmet pizzas, housemade pasta offerings, sandwiches and calzones.","Lincolnshire, Ill.",3.3e+07,37.5,44,NA,970000,2012,NA
"Twin Peaks","“Breastaurant” Twin Peaks is a casual-dining concept that offers a varied menu complemented by cold beers. Twin Restaurant IP LLC, a private company, operates and franchises the chain, mainly developing units in freestanding buildings that formerly housed restaurants. Interiors are designed to resemble a mountain sports lodge. Waitstaff uniforms consist of red and-black plaid blouses tied at the bust and short shorts. Randy Dewitt, founder of the Rockfish Seafood Grill chain, partnered with Scott Gordon to open the first Twin Peaks in 2005 in the Dallas suburb of Lewisville. A franchising program was launched a few years later and the chain has since expanded into several other states. Several former Hooters executives, including former CEOs Coby Brooks and Rick Akam and former executive vice president Joe Hummel, joined Twin Peaks in 2011 to aggressively expand the concept.","Addison, Texas",4.4e+07,35.4,18,50,2950000,2012,NA
"Nothing Bundt Cakes","Founded in Las Vegas in 1997 by friends Dena Tripp and Debra Shwetz, Nothing Bundt Cakes combines retail bakeries with online ordering. The stores emphasize their cakes as indulgences and gifts. A rebranding effort in 2006 brought a more modern design, while retaining the chain’s longstanding nostalgic feel. The stores serve a variety of cake flavors including a new flavor each month. Franchises are available and units have spread throughout the Southwest and into California and east into Alabama.","Las Vegas, Nev.",26700000,33.5,41,NA,785000,2012,NA
"Lazy Dog Café","Lazy Dog Cafe is a chain of contemporary, casual-dining restaurants serving a varied menu that draws inspiration from Italian, French, Chinese, South American and classic American influences. Privately owned, Lazy Dog Cafes are freestanding units that average 7,500 square feet with seating for 275 guests; outdoor patios are typically 1,000–1,200 square feet. The first Lazy Dog Cafe was opened in Westminster, California in 2003 by Thomas Simms, founder of Mimi’s Cafe, and his son Chris Simms. Diverse food offerings include wok platters, burgers, sandwiches, pizzas and pasta dishes. ","Huntington Beach, Calif.",3.4e+07,33.3,9,NA,4250000,2012,NA
"The Wing Warehouse","The Wing Warehouse is a traditional casual-dining concept featuring a varied menu of classic sports-bar fare, including 44 wing flavors and 29 draft beers. Drink specials, in-restaurant games and events, and live music all help the concept appeal to a wide demo- graphic. WW Systems LLC owns The Wing Warehouse, as well as the Scorchers brand. Franchising is available. Units are generally freestanding and measure up to about 5,800 square feet. Darrell Guariniello founded The Wing Warehouse in Ohio in 2001. The concept originally operated in a fast-casual format where patrons ordered bar-style food at a counter and had it delivered to their tables. In 2005, the concept turned into a full-service restaurant. In late 2009, Guariniello’s WW Systems LLC purchased a competitor chain called Scorchers and began to merge it with The Wing Warehouse brand. All units operating under the Scorchers banner are expected to be converted to The Wing Warehouse banner over time.","Akron, Ohio",25200000,32.6,11,10,2400000,2012,NA
